physical_angle_from_+z_deg,normalized_power
8.749522430651641969e+01,4.562082000233512458e-02
8.600576606972218485e+01,4.748815751923757267e-02
8.493653584769540998e+01,4.939360446275031097e-02
8.405624693524562474e+01,5.133630836690522559e-02
8.329011891728239902e+01,5.331535963986518828e-02
8.260259600834081084e+01,5.532979414623736408e-02
8.197345334741278577e+01,5.737859602833470657e-02
8.138988351631661544e+01,5.946070075910415281e-02
8.084316891150261597e+01,6.157499841833796034e-02
8.032705804746242961e+01,6.372033718270891933e-02
7.983688714693701627e+01,6.589552701912421151e-02
7.936906721708824364e+01,6.809934356988113502e-02
7.892076633286970377e+01,7.033053221713987668e-02
7.848970334678907079e+01,7.258781231330621586e-02
7.807400868856288412e+01,7.486988156304642816e-02
7.767212737119346855e+01,7.717542054184600708e-02
7.728274954302992228e+01,7.950309733527236022e-02
7.690475958843092030e+01,8.185157228241937699e-02
7.653719805930960263e+01,8.421950280639935171e-02
7.617923269291678423e+01,8.660554831421234112e-02
7.583013599805458682e+01,8.900837514786263949e-02
7.548926767710585750e+01,9.142666156822047696e-02
7.515606066678796537e+01,9.385910275283068649e-02
7.483000992678573482e+01,9.630441578867214580e-02
7.451066334275165559e+01,9.876134464075229935e-02
7.419761427585298463e+01,1.012286650774010255e-01
7.389049540866149357e+01,1.037051895331930346e-01
7.358897362194160507e+01,1.061897718905913252e-01
7.329274569883249058e+01,1.086813121616510697e-01
7.300153469875375833e+01,1.111787610514737151e-01
7.271508687768982782e+01,1.136811243855283121e-01
7.243316905748555712e+01,1.161874673834862454e-01
7.215556636665128565e+01,1.186969187628212213e-01
7.188208029050359471e+01,1.212086746561225614e-01
7.161252698040293296e+01,1.237220023268461727e-01
7.134673578121649484e+01,1.262362436690790957e-01
7.108454794354028650e+01,1.287508184778205222e-01
7.082581549311805702e+01,1.312652274772801719e-01
7.057040023462306522e+01,1.337790550957513036e-01
7.031817287078985146e+01,1.362919719767381466e-01
7.006901222098153426e+01,1.388037372171858075e-01
6.982280452581093755e+01,1.413142003248822609e-01
6.957944282650979062e+01,1.438233028883588172e-01
6.933882640945600428e+01,1.463310799539091489e-01
6.910086030768916032e+01,1.488376611056674570e-01
6.886545485242822906e+01,1.513432712460223983e-01
6.863252526859571390e+01,1.538482310749981763e-01
6.840199130918335868e+01,1.563529572685863900e-01
6.817377692399688272e+01,1.588579623573671551e-01
6.794780995890977238e+01,1.613638543080991583e-01
6.772402188226114106e+01,1.638713358122808883e-01
6.750234753546284594e+01,1.663812032869829982e-01
6.728272490524831539e+01,1.688943455945175476e-01
6.706509491531122080e+01,1.714117424887279528e-01
6.684940123535476175e+01,1.739344627968620327e-01
6.663559010580570430e+01,1.764636623471076415e-01
6.642361017665059819e+01,1.790005816529254279e-01
6.621341235902919209e+01,1.815465433663065453e-01
6.600494968837115550e+01,1.841029495129887228e-01
6.579817719799862630e+01,1.866712785235057348e-01
6.559305180223205411e+01,1.892530820746855524e-01
6.538953218814141621e+01,1.918499817568730392e-01
6.518757871517327374e+01,1.944636655827160221e-01
6.498715332196499617e+01,1.970958843538123118e-01
6.478821943972731390e+01,1.997484479018829806e-01
6.459074191163766443e+01,2.024232212213901982e-01
6.439468691774287379e+01,2.051221205106711354e-01
6.420002190491737792e+01,2.078471091387037173e-01
6.400671552146793886e+01,2.106001935545518955e-01
6.381473755601299302e+01,2.133834191563692417e-01
6.362405888030038881e+01,2.161988661365550068e-01
6.343465139565786615e+01,2.190486453192727334e-01
6.324648798279816475e+01,2.219348940060457687e-01
6.305954245472513975e+01,2.248597718445544402e-01
6.287378951251049841e+01,2.278254567350678772e-01
6.268920470373002729e+01,2.308341407881510376e-01
6.250576438336604213e+01,2.338880263464215847e-01
6.232344567700032201e+01,2.369893220821625845e-01
6.214222644613492719e+01,2.401402391815613269e-01
6.196208525549314317e+01,2.433429876252342083e-01
6.178300134216353712e+01,2.465997725735192547e-01
6.160495458646230560e+01,2.499127908637855111e-01
6.142792548439796718e+01,2.532842276257222802e-01
6.125189512163239414e+01,2.567162530192497738e-01
6.107684514883960247e+01,2.602110190983283888e-01
6.090275775837226035e+01,2.637706568025687814e-01
6.072961566215155216e+01,2.673972730771417838e-01
6.055740207070319059e+01,2.710929481200926583e-01
6.038610067326796838e+01,2.748597327547595004e-01
6.021569561891985245e+01,2.786996459236220081e-01
6.004617149863045711e+01,2.826146722985446447e-01
5.987751332822221428e+01,2.866067600010507865e-01
5.970970653215723445e+01,2.906778184249994013e-01
5.954273692811219121e+01,2.948297161527909105e-01
5.937659071229328589e+01,2.990642789550825298e-01
5.921125444544830430e+01,3.033832878628954233e-01
5.904671503953574785e+01,3.077884772999865959e-01
5.888295974501379959e+01,3.122815332624432338e-01
5.871997613871396027e+01,3.168640915316328632e-01
5.855775211226752219e+01,3.215377359059238827e-01
5.839627586105344648e+01,3.263039964359931155e-01
5.823553587364011008e+01,3.311643476480443105e-01
5.807552092169360947e+01,3.361202067389083004e-01
5.791622005032809284e+01,3.411729317267542805e-01
5.775762256887426815e+01,3.463238195410567877e-01
5.759971804204464974e+01,3.515741040354901092e-01
5.744249628147459674e+01,3.569249539076139177e-01
5.728594733761961066e+01,3.623774705095261228e-01
5.713006149199139827e+01,3.679326855341375491e-01
5.697482924971478013e+01,3.735915585623189594e-01
5.682024133238988384e+01,3.793549744569377213e-01
5.666628867124437363e+01,3.852237405906835388e-01
5.651296240056128539e+01,3.911985838956255623e-01
5.636025385136922239e+01,3.972801477236079792e-01
5.620815454538214340e+01,4.034689885078873717e-01
5.605665618917669235e+01,4.097655722178506488e-01
5.590575066859609166e+01,4.161702706001869645e-01
5.575543004336954311e+01,4.226833572015587515e-01
5.560568654193734517e+01,4.293050031695663238e-01
5.545651255647216971e+01,4.360352728306737258e-01
5.530790063808720447e+01,4.428741190457061716e-01
5.515984349222324568e+01,4.498213783455548009e-01
5.501233397420596560e+01,4.568767658518141372e-01
5.486536508496634212e+01,4.640398699892305800e-01
5.471892996691644839e+01,4.713101469990252923e-01
5.457302189997432862e+01,4.786869152643735137e-01
5.442763429773092554e+01,4.861693494615689226e-01
5.428276070375316209e+01,4.937564745526374921e-01
5.413839478801740768e+01,5.014471596374010520e-01
5.399453034346745284e+01,5.092401116852056653e-01
5.385116128269196878e+01,5.171338691687028533e-01
5.370828163471630035e+01,5.251267956241920665e-01
5.356588554190398810e+01,5.332170731651006967e-01
5.342396725696318072e+01,5.414026959771491843e-01
5.328252114005392315e+01,5.496814638256452001e-01
5.314154165599202884e+01,5.580509756071283523e-01
5.300102337154564935e+01,5.665086229792494210e-01
5.286096095282091767e+01,5.750515841043050136e-01
5.272134916273288496e+01,5.836768175432279770e-01
5.258218285855875962e+01,5.923810563380701444e-01
5.244345698956957591e+01,6.011608023220693653e-01
5.230516659473804708e+01,6.100123206972929424e-01
5.216730680051885827e+01,6.189316349205271628e-01
5.202987281869925340e+01,6.279145219386047527e-01
5.189285994431664051e+01,6.369565078146444126e-01
5.175626355364124720e+01,6.460528637867736235e-01
5.162007910222090601e+01,6.551986028007670271e-01
5.148430212298587350e+01,6.643884765576870688e-01
5.134892822441146620e+01,6.736169731170358332e-01
5.121395308873619001e+01,6.828783150951098779e-01
5.107937247023355098e+01,6.921664584972329060e-01
5.094518219353538768e+01,7.014750922212584783e-01
5.081137815200505514e+01,7.107976382682463790e-01
5.067795630615847102e+01,7.201272526945020624e-01
5.054491268213143940e+01,7.294568273372089573e-01
5.041224337019157531e+01,7.387789923437344530e-01
5.027994452329328112e+01,7.480861195323134094e-01
5.014801235567407645e+01,7.573703266092169928e-01
5.001644314149125847e+01,7.666234822647625125e-01
4.988523321349698847e+01,7.758372121675285449e-01
4.975437896175086649e+01,7.850029058730219056e-01
4.962387683236849512e+01,7.941117246597152457e-01
4.949372332630490945e+01,8.031546103019321370e-01
4.936391499817173667e+01,8.121222947854441765e-01
4.923444845508672785e+01,8.210053109679443795e-01
4.910532035555489472e+01,8.297940041827055468e-01
4.897652740837995822e+01,8.384785447798417390e-01
4.884806637160517795e+01,8.470489415955773094e-01
4.871993405148271705e+01,8.554950563358778570e-01
4.859212730147037007e+01,8.638066188567267156e-01
4.846464302125506407e+01,8.719732433192032284e-01
4.833747815580196772e+01,8.799844451934241141e-01
4.821062969442862567e+01,8.878296590813139488e-01
4.808409466990318748e+01,8.954982573241242472e-01
4.795787015756606309e+01,9.029795693566458059e-01
4.783195327447413803e+01,9.102629017661154620e-01
4.770634117856699419e+01,9.173375590100441013e-01
4.758103106785428338e+01,9.241928647434725086e-01
4.745602017962382035e+01,9.308181837026161531e-01
4.733130578966952129e+01,9.372029440884597218e-01
4.720688521153870454e+01,9.433366603906276904e-01
4.708275579579819947e+01,9.492089565888300884e-01
4.695891492931855993e+01,9.548095896663595372e-01
4.683536003457603414e+01,9.601284733674931848e-01
4.671208856897146688e+01,9.651557021283231341e-01
4.658909802416606283e+01,9.698815751083942338e-01
4.646638592543298785e+01,9.742966202487312044e-01
4.634394983102473731e+01,9.783916182802220307e-01
4.622178733155574548e+01,9.821576266051064152e-01
4.609989604939956820e+01,9.855860029733054528e-01
4.597827363810051082e+01,9.886684288746900862e-01
4.585691778179909761e+01,9.913969325680177525e-01
4.573582619467099875e+01,9.937639116672531969e-01
4.561499662037917346e+01,9.957621552062670967e-01
4.549442683153855427e+01,9.973848651035484014e-01
4.537411462919342142e+01,9.986256769494881169e-01
4.525405784230650141e+01,9.994786800400855542e-01
